TR000,Ash,None,Normal,Trainer,Breeder,Male,KA,Pallet Town
TR001,Brock,Pewter Gym,Rock,Gym Leader,Breeder,Male,KA,Pewter
TR002,Misty,Cerulean Gym,Water,Gym Leader,Trainer,Female,KA,Cerulean
TR003,Lt. Surge,Vermilion Gym,Electric,Gym Leader,Breeder,Male,KA,Vermilion
TR004,Erika,Celadon Gym,Grass,Gym Leader,Trainer,Female,KA,Celadon
TR005,Koga,Fuchsia Gym,Poison,Gym Leader,Breeder,Male,KA,Fuchsia
TR006,Sabrina,Saffron Gym,Psychic,Gym Leader,Trainer,Female,KA,Saffron
TR007,Blaine,Cinnabar Gym,Fire,Gym Leader,Breeder,Male,KA,Cinnabar
TR008,Giovanni,Viridian Gym,Ground,Gym Leader,Trainer,Male,KA,Viridian
TR009,Falkner,Violet Gym,Fire,Gym Leader,Breeder,Male,JO,Violet
TR010,Bugsy,Azalea Gym,Bug,Gym Leader,Trainer,Female,JO,Azalea
TR011,Whitney,Goldenrod Gym,Normal,Gym Leader,Breeder,Female,JO,Goldenrod
TR012,Morty,Ecruteak Gym,Ghost,Gym Leader,Trainer,Male,JO,Ecruteak
TR013,Chuck,Cianwood Gym,Fighting,Gym Leader,Breeder,Male,JO,Cianwood
TR014,Jasmine,Olivine Gym,Steel,Gym Leader,Trainer,Female,JO,Olivine
TR015,Pryce,Mahogany Gym,Ice,Gym Leader,Breeder,Male,JO,Mahogany
TR016,Clair,Blackthorn Gym,Dragon,Gym Leader,Trainer,Female,JO,Blackthorn
TR017,Roxanne,Rustboro Gym,Rock,Gym Leader,Breeder,Female,HO,Rustboro
TR018,Brawly,Dewford Gym,Fighting,Gym Leader,Trainer,Male,HO,Dewford
TR019,Wattson,Mauville Gym,Electric,Gym Leader,Breeder,Male,HO,Mauville
TR020,Flannery,Lavaridge Gym,Fire,Gym Leader,Trainer,Male,HO,Lavaridge
TR021,Norman,Petalburg Gym,Normal,Gym Leader,Breeder,Male,HO,Petalburg
TR022,Winona,Fortree Gym,Fire,Gym Leader,Trainer,Female,HO,Fortree
TR023,Tate,Mossdeep Gym,Psychic,Gym Leader,Breeder,Female,HO,Mossdeep
TR024,Wallace,Sootopolis Gym,Water,Gym Leader,Trainer,Male,HO,Sootopolis
TR025,Roark,Oreburgh,Rock,Gym Leader,Breeder,Male,SI,Oreburgh
TR026,Gardenia,Eterna Gym,Grass,Gym Leader,Trainer,Female,SI,Eterna
TR027,Maylene,Veilstone Gym,Fighting,Gym Leader,Breeder,Female,SI,Veilstone
TR028,Wake,Pastoria Gym,Water,Gym Leader,Trainer,Female,SI,Pastoria
TR029,Fantina,Hearthome Gym,Ghost,Gym Leader,Breeder,Female,SI,Hearthome
TR030,Byron,Canalave Gym,Steel,Gym Leader,Trainer,Male,SI,Canalave
TR031,Candice,Snowpoint Gym,Ice,Gym Leader,Breeder,Female,SI,Snowpoint
TR032,Volkner,Sunyshore Gym,Electric,Gym Leader,Trainer,Male,SI,Sunyshore
TR033,Cilan,Striaton Gym,Grass,Gym Leader,Breeder,Female,UN,Striaton
TR034,Chili,Striaton Gym,Fire,Gym Leader,Trainer,Female,UN,Striaton
TR035,Cress,Striaton Gym,Water,Gym Leader,Breeder,Female,UN,Striaton
TR036,Lenora,Nacrene Gym,Normal,Gym Leader,Trainer,Female,UN,Nacrene
TR037,Cheren,Aspertia Gym,Normal,Gym Leader,Breeder,Female,UN,Aspertia
TR038,Rozie,Virbank Gym,Poison,Gym Leader,Trainer,Female,UN,Virbank
TR039,Burgh,Castelia Gym,Bug,Gym Leader,Breeder,Male,UN,Castelia
TR040,Elesa,Nimbasa Gym,Electric,Gym Leader,Trainer,Female,UN,Nimbasa
TR041,Clay,Driftveil Gym,Ground,Gym Leader,Breeder,Male,UN,Driftveil
TR042,Skyla,Mistralton Gym,Fire,Gym Leader,Trainer,Female,UN,Mistralton
TR043,Brycen,Icirrus Gym,Ice,Gym Leader,Breeder,Male,UN,Icirrus
TR044,Drayden,Opelucid Gym,Dragon,Gym Leader,Trainer,Male,UN,Opelucid
TR045,Marlon,Humilau Gym,Water,Gym Leader,Breeder,Male,UN,Humilau
TR046,Viola,Santalune Gym,Bug,Gym Leader,Trainer,Female,KS,Santalune
TR047,Grant,Cyllage Gym,Rock,Gym Leader,Breeder,Male,KS,Cyllage
TR048,Korrina,Shalour Gym,Fighting,Gym Leader,Trainer,Female,KS,Shalour
TR049,Ramos,Coumarine Gym,Grass,Gym Leader,Breeder,Male,KS,Coumarine
TR050,Clemont,Lumoise Gym,Electric,Gym Leader,Trainer,Male,KS,Lumoise
TR051,Valerie,Laverre Gym,Fairy,Gym Leader,Breeder,Female,KS,Laverre
TR052,Olympia,Anistar Gym,Psychic,Gym Leader,Trainer,Male,KS,Anistar
TR053,Wulfric,Snowbelle Gym,Ice,Gym Leader,Breeder,Male,KS,Snowbelle
