1,BULBASAUR,GRASS,5,5,7,7,5,100,KA,TR004
3,VENUSAUR,GRASS,8,8,10,10,8,100,SI,TR026
4,CHIKORITA,GRASS,5,7,5,7,5,100,UN,TR033
5,BAYLEEF,GRASS,6,8,6,8,6,100,KS,TR049
6,MEGANIUM,GRASS,8,10,8,10,8,100,KA,null
7,TREECKO,GRASS,5,4,7,6,7,100,JO,null
8,GROVYLE,GRASS,7,5,9,6,7,100,HO,null
9,SCEPTILE,GRASS,9,7,11,9,12,100,SI,null
10,TURTWIG,GRASS,7,6,5,6,3,100,UN,null
11,GROTLE,GRASS,9,9,6,7,4,100,KS,null
12,TORTERRA,GRASS,11,11,8,9,4,100,KA,null
13,SNIVY,GRASS,5,6,5,6,6,100,JO,null
14,SERVINE,GRASS,6,8,6,8,8,100,HO,null
15,SERPERIOR,GRASS,8,10,8,10,11,100,SI,null
16,CHARMANDER,FIRE,5,4,6,5,7,100,UN,null
17,CHARMELEON,FIRE,6,6,8,7,8,100,KS,null
18,CHARIZARD,FIRE,8,8,11,9,10,100,KA,TR007
19,CYNDAQUIL,FIRE,5,4,6,5,7,100,HO,TR020
20,QUILAVA,FIRE,6,6,8,7,8,100,UN,TR034
21,TYPHLOSION,FIRE,8,8,11,9,10,100,JO,TR009
22,TORCHIC,FIRE,6,4,7,5,5,100,HO,TR022
23,COMBUSKEN,FIRE,9,6,9,6,6,100,UN,TR042
24,BLAZIKEN,FIRE,12,7,11,7,8,100,KA,null
25,CHIMCHAR,FIRE,6,4,6,4,6,100,JO,null
26,MONFERNO,FIRE,8,5,8,5,8,100,HO,null
27,INFERNAPE,FIRE,10,7,10,7,10,100,SI,null
28,TEPIG,FIRE,6,5,5,5,5,100,UN,null
29,PIGNITE,FIRE,9,6,7,6,6,100,KS,null
30,EMBOAR,FIRE,12,7,10,7,7,100,KA,null
31,SQUIRTLE,WATER,5,7,5,6,4,100,KA,TR002
32,WARTORTLE,WATER,6,8,7,8,6,100,HO,TR024
33,BLASTOISE,WATER,8,10,9,11,8,100,SI,TR028
34,TOTODILE,WATER,7,6,4,5,4,100,UN,TR035
35,CROCONAW,WATER,8,8,6,6,6,100,UN,TR045
36,FERALIGATR,WATER,11,10,8,8,8,100,KA,null
37,MUDKIP,WATER,7,5,5,5,4,100,JO,null
38,MARSHTOMP,WATER,9,7,6,7,5,100,HO,null
39,SWAMPERT,WATER,11,9,9,9,6,100,SI,null
40,PIPLUP,WATER,5,5,6,6,4,100,UN,null
41,PRINPLUP,WATER,7,7,8,8,5,100,KS,null
42,EMPOLEON,WATER,9,9,11,10,6,100,KA,null
43,OSHAWOTT,WATER,6,5,6,5,5,100,JO,null
44,DEWOTT,WATER,8,6,8,6,6,100,HO,null
45,SAMUROTT,WATER,10,9,8,7,7,100,SI,null
46,CATERPIE,BUG,3,4,2,2,5,100,JO,TR010
47,METAPOD,BUG,2,6,3,3,3,100,UN,TR039
48,BUTTERFREE,BUG,5,5,8,8,7,100,KS,TR046
49,WEEDLE,BUG,4,3,2,2,5,100,KA,null
50,KAKUNA,BUG,3,5,3,3,4,100,JO,null
51,BEEDRILL,BUG,8,4,5,8,8,100,HO,null
52,SEWADDLE,BUG,5,7,4,6,4,100,SI,null
53,SWADLOON,BUG,6,9,5,8,4,100,UN,null
54,LEAVANNY,BUG,10,8,7,7,9,100,KS,null
55,VENIPEDE,BUG,5,6,3,4,6,100,KA,null
56,WHIRLPEDE,BUG,6,10,4,8,5,100,JO,null
57,SCOLIPEDE,BUG,9,9,6,7,11,100,HO,null
58,WURMPLE,BUG,5,4,2,3,2,100,SI,null
59,SILCOON,BUG,4,6,3,3,2,100,UN,null
60,BEAUTIFLY,BUG,7,5,9,5,7,100,KS,null
61,CASCOON,BUG,4,6,3,3,2,100,KA,null
62,DUSTOX,BUG,5,7,5,9,7,100,JO,null
63,PIDGEY,NORMAL,5,4,4,4,6,100,JO,TR011
64,PIDGEOTTO,NORMAL,6,6,5,5,7,100,HO,TR021
65,PIDGEOT,NORMAL,8,8,7,7,9,100,UN,TR036
66,TOGEPI,NORMAL,2,7,4,7,2,100,UN,TR037
67,TOGETIC,NORMAL,4,9,8,11,4,100,KA,null
68,TOGEKISS,NORMAL,5,10,12,12,8,100,JO,null
69,STARLY,NORMAL,6,3,3,3,6,100,HO,null
70,STARAVIA,NORMAL,8,5,4,4,8,100,SI,null
71,STARAPTOR,NORMAL,12,7,5,5,10,100,UN,null
72,PIDOVE,NORMAL,6,5,4,3,4,100,KS,null
73,TRANQUILL,NORMAL,8,6,5,4,7,100,KA,null
74,UNFEZANT,NORMAL,11,8,7,6,9,100,JO,null
75,NIDORAN (F),POISON,5,5,4,4,4,100,KA,TR005
76,NIDORINA,POISON,6,7,6,6,6,100,UN,TR038
77,NIDOQUEEN,POISON,8,9,8,9,8,100,KA,null
78,NIDORAN (M),POISON,6,4,4,4,5,100,JO,null
79,NIDORINO,POISON,7,6,6,6,7,100,HO,null
80,NIDOKING,POISON,9,8,9,8,9,100,SI,null
